PLAYER_ID,FirstName,LastName,Wins,Losses,PreviousWins,PreviousLosses,PlayerWinPercent,Points,Rebounds,Assists,Steals,Blocks,MissedFieldGoals,MissedFreeThrows,TurnOvers
203932,Aaron,Gordon,43,27,29,21,0.614,14.7,5.7,2.5,0.6,0.6,5.4,0.8,1.7
1630565,Aaron,Henry,6,0,30,36,1,0.3,0.2,0,0,0.3,0.6,0,0.3
1628988,Aaron,Holiday,32,26,22,24,0.552,6.4,1.9,2.4,0.7,0.2,2.8,0.1,1.1
1630174,Aaron,Nesmith,29,19,16,8,0.604,3.6,1.8,0.4,0.4,0.1,2.2,0.1,0.5
1630598,Aaron,Wiggins,12,35,3,11,0.255,8.1,3.5,1.3,0.6,0.2,3.6,0.4,1
1627846,Abdel,Nader,11,3,11,17,0.786,2.4,1.9,0.5,0.6,0.3,1.6,0.3,0.8
1630278,Ade,Murkey,0,1,5,18,0,0,0,0,0,0,0,0,0
1629678,Admiral,Schofield,9,25,27,22,0.265,3.5,2.1,0.7,0.1,0.1,1.8,0.1,0.5
1629958,Ahmad,Caver,0,1,13,32,0,2,0,0,0,0,0,0,0
201143,Al,Horford,42,22,10,5,0.656,10,7.5,3.3,0.7,1.4,4.5,0.2,1
202692,Alec,Burks,34,41,32,26,0.453,11.5,4.7,2.8,1.1,0.3,5.4,0.6,1
1630758,Aleem,Ford,2,3,30,34,0.4,2.8,3,0.4,0.2,0,2.8,0,0.8
1630197,Aleksej,Pokusevski,18,41,22,17,0.305,7.4,5.2,1.9,0.6,0.6,4.3,0.2,1.4
1627936,Alex,Caruso,22,15,10,8,0.595,8,3.7,3.8,1.8,0.4,3.8,0.4,1.5
203458,Alex,Len,15,22,2,3,0.405,6.3,4.3,1.2,0.4,0.7,2.2,0.6,1.2
1628035,Alfonzo,McKinnie,8,9,32,12,0.471,3.5,1.9,0.3,0.1,0.2,2.2,0.4,0.4
1628993,Alize,Johnson,14,9,1,4,0.609,1.8,2.7,0.4,0.2,0,1,0.2,0.5
1630578,Alperen,Sengun,18,50,19,27,0.265,9.4,5.3,2.4,0.9,1,3.7,1,2
1629599,Amir,Coffey,27,35,37,26,0.435,8.9,2.8,1.8,0.5,0.2,3.9,0.2,0.7
203083,Andre,Drummond,37,29,4,1,0.561,7.7,9.1,1.8,1.1,0.9,2.5,1.1,1.7
2738,Andre,Iguodala,17,10,38,33,0.63,4.2,3.3,3.7,0.8,0.8,2.3,0.2,0.9
203952,Andrew,Wiggins,43,25,37,27,0.632,17.1,4.5,2.2,1.1,0.7,7.5,1.1,1.5
1629014,Anfernee,Simons,25,32,23,13,0.439,17.3,2.6,3.9,0.5,0.1,7.8,0.2,2
203076,Anthony,Davis,17,20,23,49,0.459,23.1,9.7,2.9,1.2,2.3,8,1.7,2.1
1630162,Anthony,Edwards,36,30,11,15,0.545,21,4.7,3.7,1.5,0.7,9.7,0.8,2.7
1630264,Anthony,Gill,13,24,3,21,0.351,3.6,1.7,0.6,0.1,0.3,0.7,0.2,0.3
1630237,Anthony,Lamb,0,2,7,4,0,0,0.5,1,0,0,1,0,0
1629717,Armoni,Brooks,18,32,1,0,0.36,5.7,1.9,1.2,0.5,0.2,3.7,0.1,0.5
1629083,Arnoldas,Kulboka,1,0,3,17,1,0,0,0,0,0,0,0,0
1630559,Austin,Reaves,26,29,20,33,0.473,6.7,2.9,1.6,0.5,0.3,2.6,0.3,0.6
203085,Austin,Rivers,38,23,0,2,0.623,6.2,1.7,1.4,0.8,0.1,3.1,0.2,0.8
202340,Avery,Bradley,27,31,20,16,0.466,6.4,2.2,0.8,0.8,0.2,3.3,0,0.6
1630245,Ayo,Dosunmu,39,31,6,21,0.557,8.5,2.8,3.3,0.7,0.4,3.2,0.3,1.3
